"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"PCJEWELLER","EQ","06-Jun-2023","24.15","24.20","24.35","23.85","24.05","23.95","24.05","823,445","19,804,790.95","3,934","643,408","78.14"
"PCJEWELLER","EQ","07-Jun-2023","23.95","24.20","24.35","24.00","24.25","24.25","24.20","763,251","18,472,213.85","3,265","549,233","71.96"
"PCJEWELLER","EQ","08-Jun-2023","24.25","24.25","26.65","24.25","26.65","26.65","26.23","9,018,084","236,516,740.50","14,300","4,427,575","49.10"
"PCJEWELLER","EQ","09-Jun-2023","26.65","27.95","29.20","27.10","27.80","27.65","28.17","9,389,718","264,498,495.15","19,309","4,014,941","42.76"
"PCJEWELLER","EQ","12-Jun-2023","27.65","28.90","28.90","27.00","27.25","27.25","27.84","3,290,654","91,595,760.60","7,671","1,855,518","56.39"
"PCJEWELLER","EQ","13-Jun-2023","27.25","27.70","27.80","26.30","27.00","26.95","27.13","2,899,105","78,642,689.10","7,301","1,090,190","37.60"
"PCJEWELLER","EQ","14-Jun-2023","26.95","27.10","27.30","26.50","27.00","26.90","26.94","1,061,791","28,608,916.35","3,817","523,326","49.29"
"PCJEWELLER","EQ","15-Jun-2023","26.90","26.90","27.25","26.60","26.80","26.70","26.88","969,539","26,060,334.35","3,287","513,691","52.98"
"PCJEWELLER","EQ","16-Jun-2023","26.70","26.95","28.35","26.80","27.50","27.60","27.63","2,811,072","77,659,519.25","6,898","1,140,603","40.58"
"PCJEWELLER","EQ","19-Jun-2023","27.60","28.00","28.00","26.80","27.05","27.10","27.45","1,938,181","53,204,529.60","3,786","1,577,725","81.40"
"PCJEWELLER","EQ","20-Jun-2023","27.10","27.10","27.70","26.80","27.35","27.30","27.22","1,092,890","29,744,509.15","3,708","553,204","50.62"
"PCJEWELLER","EQ","21-Jun-2023","27.30","27.30","27.40","27.00","27.05","27.10","27.21","565,163","15,375,712.00","3,103","433,129","76.64"
"PCJEWELLER","EQ","22-Jun-2023","27.10","27.40","27.40","26.85","26.90","26.95","27.02","650,560","17,575,940.15","4,084","500,172","76.88"
"PCJEWELLER","EQ","23-Jun-2023","26.95","26.90","26.95","26.30","26.50","26.40","26.48","555,513","14,708,549.40","3,633","383,577","69.05"
"PCJEWELLER","EQ","26-Jun-2023","26.40","26.85","27.00","26.25","26.30","26.35","26.41","708,218","18,707,544.75","2,256","457,158","64.55"
"PCJEWELLER","EQ","27-Jun-2023","26.35","26.50","26.55","26.05","26.05","26.20","26.26","636,733","16,723,628.40","2,424","431,720","67.80"
"PCJEWELLER","EQ","28-Jun-2023","26.20","26.30","26.40","25.85","26.30","26.30","26.18","565,708","14,807,817.10","3,049","339,299","59.98"
"PCJEWELLER","EQ","30-Jun-2023","26.30","26.70","26.70","26.30","26.35","26.35","26.43","711,671","18,808,806.35","2,638","370,814","52.10"
"PCJEWELLER","EQ","03-Jul-2023","26.35","26.75","27.60","26.50","26.95","26.80","27.02","1,734,420","46,865,715.45","4,621","899,003","51.83"
"PCJEWELLER","EQ","04-Jul-2023","26.80","27.00","27.20","26.75","27.10","27.05","26.99","1,141,038","30,801,974.35","2,817","631,740","55.37"
"PCJEWELLER","EQ","05-Jul-2023","27.05","27.05","27.85","27.05","27.15","27.20","27.45","1,880,501","51,614,461.10","5,058","920,544","48.95"
"PCJEWELLER","EQ","06-Jul-2023","27.20","27.45","27.45","26.85","26.95","27.00","27.07","1,007,299","27,272,166.70","3,462","633,602","62.90"
