"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"REFEX","EQ","06-Jun-2023","507.80","509.80","531.00","508.00","523.00","522.15","522.20","244,401","127,625,077.10","7,725","86,892","35.55"
"REFEX","EQ","07-Jun-2023","522.15","526.20","537.95","522.00","522.00","525.55","530.20","161,178","85,456,330.65","5,119","77,851","48.30"
"REFEX","EQ","08-Jun-2023","525.55","529.95","529.95","508.00","512.70","511.25","515.74","140,896","72,665,027.80","5,057","81,904","58.13"
"REFEX","EQ","09-Jun-2023","511.25","515.00","517.90","491.15","505.00","502.95","505.97","112,181","56,760,757.30","4,624","66,313","59.11"
"REFEX","EQ","12-Jun-2023","502.95","503.95","532.90","503.20","526.00","524.60","522.74","251,680","131,563,434.75","7,377","122,981","48.86"
"REFEX","EQ","13-Jun-2023","524.60","532.00","532.85","519.00","521.00","520.45","526.39","112,528","59,233,444.05","4,799","61,704","54.83"
"REFEX","EQ","14-Jun-2023","520.45","524.45","528.90","515.00","519.65","519.80","520.02","121,062","62,954,405.10","4,449","60,327","49.83"
"REFEX","EQ","15-Jun-2023","519.80","522.00","554.65","516.05","534.00","532.25","539.41","407,911","220,030,426.20","10,715","157,947","38.72"
"REFEX","EQ","16-Jun-2023","532.25","544.00","553.95","537.00","550.00","549.25","547.15","239,495","131,040,554.55","6,545","129,453","54.05"
"REFEX","EQ","19-Jun-2023","549.25","569.40","569.40","545.00","552.00","550.45","557.96","246,958","137,791,892.15","7,064","129,965","52.63"
"REFEX","EQ","20-Jun-2023","550.45","545.05","553.05","523.10","535.00","533.50","536.63","193,855","104,028,192.75","7,042","92,649","47.79"
"REFEX","EQ","21-Jun-2023","533.50","536.00","551.45","535.00","545.00","543.55","542.44","143,359","77,763,197.45","5,765","83,577","58.30"
"REFEX","EQ","22-Jun-2023","543.55","546.55","548.20","525.00","531.90","530.25","532.85","92,075","49,061,889.65","3,962","51,256","55.67"
"REFEX","EQ","23-Jun-2023","530.25","527.00","534.00","503.20","514.25","512.20","515.00","163,842","84,378,576.45","6,098","79,301","48.40"
"REFEX","EQ","26-Jun-2023","512.20","512.20","526.90","508.00","519.00","517.30","517.89","63,026","32,640,507.75","2,599","33,280","52.80"
"REFEX","EQ","27-Jun-2023","517.30","522.00","529.75","519.00","519.05","520.90","523.63","66,882","35,021,099.80","2,630","34,881","52.15"
"REFEX","EQ","28-Jun-2023","520.90","542.95","542.95","523.00","523.00","526.75","530.68","94,185","49,982,131.50","3,077","52,400","55.64"
"REFEX","EQ","30-Jun-2023","526.75","530.45","550.00","528.50","544.25","545.55","541.15","215,623","116,683,480.80","7,619","118,747","55.07"
"REFEX","EQ","03-Jul-2023","545.55","547.80","560.00","535.00","543.00","542.25","545.81","144,910","79,093,142.20","4,682","77,072","53.19"
"REFEX","EQ","04-Jul-2023","542.25","544.25","548.90","530.00","533.00","534.20","537.87","81,744","43,967,337.30","3,028","45,169","55.26"
"REFEX","EQ","05-Jul-2023","534.20","537.90","537.95","521.10","525.10","525.40","527.66","67,898","35,827,230.65","3,226","41,385","60.95"
"REFEX","EQ","06-Jul-2023","525.40","530.70","536.60","518.50","528.80","526.30","528.03","76,609","40,452,056.05","3,180","43,992","57.42"
