"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"FOCUS","EQ","06-Jun-2023","563.85","562.05","573.90","554.70","556.50","559.70","565.45","10,110","5,716,677.55","1,016","6,234","61.66"
"FOCUS","EQ","07-Jun-2023","559.70","553.35","570.90","531.80","562.70","564.10","548.41","31,546","17,300,174.40","2,067","14,878","47.16" 
"FOCUS","EQ","08-Jun-2023","564.10","567.40","567.40","550.00","561.05","554.50","559.67","6,664","3,729,650.50","548","4,530","67.98"
"FOCUS","EQ","09-Jun-2023","554.50","547.10","582.20","547.10","582.20","582.20","577.40","40,750","23,529,119.10","1,082","26,503","65.04"
"FOCUS","EQ","12-Jun-2023","582.20","592.00","604.00","563.00","586.00","585.90","584.40","26,002","15,195,445.45","1,613","14,440","55.53"
"FOCUS","EQ","13-Jun-2023","585.90","589.90","594.80","582.00","584.30","584.50","587.87","13,496","7,933,928.40","893","9,583","71.01"
"FOCUS","EQ","14-Jun-2023","584.50","589.00","598.00","569.10","585.00","583.95","579.88","14,610","8,472,082.00","1,062","7,996","54.73"
"FOCUS","EQ","15-Jun-2023","583.95","589.90","596.95","583.90","587.00","587.85","589.17","13,804","8,132,852.40","898","8,629","62.51"
"FOCUS","EQ","16-Jun-2023","587.85","580.20","594.90","580.20","590.80","590.30","589.05","13,140","7,740,131.70","686","8,335","63.43"
"FOCUS","EQ","19-Jun-2023","590.30","597.00","608.00","586.60","595.00","596.10","595.27","12,683","7,549,762.95","740","6,024","47.50"
"FOCUS","EQ","20-Jun-2023","596.10","598.00","598.95","573.05","588.95","582.95","582.38","16,163","9,413,083.95","670","9,904","61.28"
"FOCUS","EQ","21-Jun-2023","582.95","582.95","584.00","576.10","579.55","580.35","580.32","7,193","4,174,240.85","396","4,821","67.02"
"FOCUS","EQ","22-Jun-2023","580.35","583.00","589.10","581.05","585.90","583.50","585.01","9,090","5,317,734.80","380","6,468","71.16"
"FOCUS","EQ","23-Jun-2023","583.50","585.10","585.10","560.40","567.00","565.30","570.32","12,433","7,090,834.05","540","7,105","57.15"
"FOCUS","EQ","26-Jun-2023","565.30","571.60","593.55","569.00","570.00","574.10","588.52","64,318","37,852,624.35","1,443","39,298","61.10"
"FOCUS","EQ","27-Jun-2023","574.10","571.00","571.00","554.00","554.05","562.90","566.37","30,612","17,337,705.05","839","19,713","64.40"
"FOCUS","EQ","28-Jun-2023","562.90","566.95","591.00","563.05","575.90","577.35","581.64","25,125","14,613,804.90","1,034","12,694","50.52"
"FOCUS","EQ","30-Jun-2023","577.35","589.00","593.95","570.00","589.30","584.85","579.79","15,412","8,935,794.45","803","9,415","61.09"
"FOCUS","EQ","03-Jul-2023","584.85","599.90","614.05","590.05","590.05","601.25","610.46","77,057","47,040,139.70","1,446","53,725","69.72"
"FOCUS","EQ","04-Jul-2023","601.25","610.00","619.10","600.00","614.00","605.55","606.75","19,792","12,008,842.30","873","13,094","66.16"
"FOCUS","EQ","05-Jul-2023","605.55","616.90","617.00","607.00","609.00","610.00","610.96","13,938","8,515,557.95","712","8,254","59.22"
"FOCUS","EQ","06-Jul-2023","610.00","619.00","625.00","607.10","624.90","623.25","619.58","23,421","14,511,250.55","885","16,236","69.32"
